"product_number","full_address","name","company_philips","company_akzo","company_van_houten","company_unilever","product_smartphone","product_tv","product_laptop","product_tablet"
"5","Groningensingel 147,arnhem,the netherlands","dhr p. jansen",1,0,0,0,1,0,0,0
"43","Groningensingel 148,arnhem,the netherlands","dhr p. hansen",1,0,0,0,1,0,0,0
"3","Groningensingel 149,arnhem,the netherlands","dhr j. Gansen",1,0,0,0,0,0,1,0
"34","Groningensingel 150,arnhem,the netherlands","dhr p. mansen",1,0,0,0,0,0,1,0
"12","Groningensingel 151,arnhem,the netherlands","dhr p. fransen",1,0,0,0,0,0,1,0
"23","Groningensingel 152,arnhem,the netherlands","dhr p. franssen",1,0,0,0,1,0,0,0
"43","Leeuwardenweg 178,arnhem,the netherlands","dhr p. bansen",0,1,0,0,0,1,0,0
"12","Leeuwardenweg 179,arnhem,the netherlands","dhr p. vansen",0,1,0,0,0,1,0,0
"5","Leeuwardenweg 180,arnhem,the netherlands","dhr p. bransen",0,1,0,0,0,0,1,0
"34","Leeuwardenweg 181,arnhem,the netherlands","dhr p. janssen",0,1,0,0,1,0,0,0
"5","Leeuwardenweg 182,arnhem,the netherlands","mevr l.  rokken",0,1,0,0,0,0,0,1
"9","Leeuwardenweg 183,arnhem,the netherlands","mevr l.  lokken",0,1,0,0,0,0,0,1
"8","Leeuwardenweg 184,arnhem,the netherlands","mevr l.  mokken",0,1,0,0,0,0,1,0
"56","Delfzijlstraat 54,arnhem,the netherlands","mevr l.  mokken",1,0,0,0,1,0,0,0
"67","Delfzijlstraat 55,arnhem,the netherlands","mevr l.  mokken",1,0,0,0,0,1,0,0
"21","Delfzijlstraat 56,arnhem,the netherlands","mevr l.  mokken",1,0,0,0,0,1,0,0
"45","Delfzijlstraat 57,arnhem,the netherlands","mevr l.  sokken",0,0,1,0,0,0,1,0
"56","Delfzijlstraat 58,arnhem,the netherlands","mevr l.  wokken",0,0,1,0,0,1,0,0
"65","Delfzijlstraat 59,arnhem,the netherlands","mevr l.  kokken",0,0,1,0,0,1,0,0
"21","Delfzijlstraat 60,arnhem,the netherlands","mevr l.  Bokken",0,0,1,0,0,0,1,0
"23","Delfzijlstraat 61,arnhem,the netherlands","mevr l.  dokken",0,0,1,0,1,0,0,0
"3","Jourestraat 23,arnhem,the netherlands","mevr l.  gokken",0,0,0,1,0,0,1,0
"4","Jourestraat 24,arnhem,the netherlands","mevr l.  stokken",0,0,0,1,0,0,0,1
"6","Jourestraat 25,arnhem,the netherlands","mevr l.  rokken",0,0,0,1,0,0,0,1
"8","Jourestraat 26,arnhem,the netherlands","mevr l.  rokken",0,0,0,1,0,0,0,1
